,Name,SMILES,cid,molecular_formula,sdf
155,3'-5' ADP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N,159296,C10H15N5O10P2,159296.sdf
156,phosphormic  acid (PFA),C(=O)(O)P(=O)(O)O,3415,CH3O5P,3415.sdf
157,N-phosphonomethyl glycine (PMG),C(C(=O)O)NCP(=O)(O)O,3496,C3H8NO5P,3496.sdf
158,DL-2'-amino-3-phosphonopropinoic acid (APPA),C([C@@H](C(=O)O)N)P(=O)(O)O,177120,C3H8NO5P,177120.sdf
159,5'-phosphoribosyl-1-pyrophosphate,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,7339,C5H13O14P3,7339.sdf
160,"α-D-glucose-1,6-bisphosphate",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)OP(=O)(O)O,82400,C6H14O12P2,82400.sdf
161,"D-fructose-1,6-bisphosphate",C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O,10267,C6H14O12P2,10267.sdf
162,"B-glucose-1,6-bisphosphate",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OP(=O)(O)O)O)O)O)OP(=O)(O)O,447467,C6H14O12P2,447467.sdf
163,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate",C([C@H]([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OP(=O)(O)O)O)O)O)O)OP(=O)(O)O,46906053,C7H16O13P2,46906053.sdf
164,"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate",C([C@H]([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O)O)OP(=O)(O)O,46906052,C7H16O13P2,46906052.sdf
165,"D-glucose-3,5-bisphosphate",O=C[C@H](O)[C@@H](OP(=O)(O)O)[C@H](O)[C@@H](CO)OP(=O)(O)O,0,C6H14O12P2,G165.sdf
166,"D-glucitol-3,5-diphosphate",O=P(O)(O)O[C@H](CO)[C@@H](O)[C@H](OP(=O)(O)O)[C@@H](O)CO,0,C6H16O12P2,G166.sdf
