,Substrate,Name_efi,fuzz_ratio,fuzz_partial_ratio,human_curation
89,D-2-keto-glucose-6-phosphate,D-2'-keto-glucose-6-phosphate,D-2'-keto-glucose-6-phosphate,D-2'-keto-glucose-6-phosphate,
90,D-3-deoxy-glucose-6-phosphate,D-3'-deoxy-glucose-6-phosphate,D-3'-deoxy-glucose-6-phosphate,D-3'-deoxy-glucose-6-phosphate,
91,D-glucose-3-phosphate,D-glucose-3-phosphate,D-glucose-3-phosphate,D-glucose-3-phosphate,
92,D-allose-3-phosphate,D-allose-3-phosphate,D-allose-3-phosphate,D-allose-3-phosphate,
93,D-Mannose-2-P    ,D-mannose-2-phosphate,D-mannose-2-phosphate,D-mannose-2-phosphate,
94,L-Glucose-3-P    ,L-glucose-3-phosphate,L-glucose-3-phosphate,L-glucose-3-phosphate,
95,O-phosphorylethanolamine,O-phosphoethanolamine,O-phosphoethanolamine,O-phosphoethanolamine,
96,phosphocholine,phosphocholine,phosphocholine,phosphocholine,
97,O-phospho-L-serine,O-phospho-L-serine,O-phospho-L-serine,O-phospho-L-serine,
98,O-phospho-L-threonine,O-phospho-L-threonine,O-phospho-L-threonine,O-phospho-L-threonine,
99,O-phospho-L-tyrosine,O-phospho-L-tyrosine,O-phospho-L-tyrosine,O-phospho-L-tyrosine,
100,Histidinol-phosphate (not stable),histidinol-phosphate,histidinol-phosphate,histidinol-phosphate,
101,glucosamine 6 phosphate,Glucosamine-6'-phosphate,Glucosamine-6'-phosphate,Glucosamine-6'-phosphate,
102,a-D-glucosamine-1-phosphate (not stable),a-D-glucosamine-1-phosphate,a-D-glucosamine-1-phosphate,a-D-glucosamine-1-phosphate,
103,N-acetyl-mannosamine-6-phosphate,N-acetyl-mannosamine-6-phosphate,N-acetyl-mannosamine-6-phosphate,N-acetyl-mannosamine-6-phosphate,
104,pyrophosphate (Ppi or POP),Pyrophosphate,Pyrophosphate,Pyrophosphate,
105,imidodiphosphate (PNP),imidodiphosphate (PNP),imidodiphosphate (PNP),imidodiphosphate (PNP),
106,thiamine pyrophosphate,Thiamine-pyrophosphate,Thiamine-pyrophosphate,Pyrophosphate,
107,ATP,ATP,ATP,ATP,
108,ADP,ADP,ADP,ADP,
109,UTP,UTP,UTP,UTP,
110,UDP ,UDP,UDP,UDP,
111,TTP,TTP,TTP,TTP,
112,TDP,TDP,TDP,TDP,
113,CTP,CTP,CTP,dCTP,
114,CDP,CDP,CDP,CDP,
115,GTP,GTP,GTP,GTP,
116,GDP,GDP,GDP,GDP,
117,ITP,ITP,ITP,ITP,
118,IDP,IDP,IDP,IDP,
119,dATP,dATP,dATP,ATP,
120,dCTP,dCTP,dCTP,dCTP,
121,dGTP,dGTP,dGTP,GTP,
122,dTTP,dTTP,dTTP,TTP,
123,Uridine-5'-diphosphoglucuronic acid ,Uridine-5'-diphosphoglucuronic acid,Uridine-5'-diphosphoglucuronic acid,Uridine-5'-diphosphoglucuronic acid,
